# mimalloc-bench subset (cfrac espresso barnes alloc-test glibc-* mstress rptest cscratch malloc-large larson)
# allocators: sys me me0 mi rp   format: benchmark allocator elapsed rss user sys page-faults page-reclaims
# machine: Cortex-A78AE aarch64 6c 1.73GHz 7.4GiB 5.15.148-tegra
cfrac       sys   10.41 9100 10.39 0.00 0 391
cfrac       me    15.00 22192 14.98 0.00 0 143
cfrac       me0   14.53 22172 14.51 0.01 0 142
cfrac       mi    09.14 9084 9.13 0.00 0 141
cfrac       rp    09.42 9100 9.38 0.01 0 665
espresso    sys   09.12 9096 9.06 0.04 0 301
espresso    me    00.30 61472 0.09 0.01 0 284
espresso    me0   00.29 61500 0.08 0.01 0 287
espresso    mi    07.91 9100 7.83 0.07 0 3829
espresso    rp    07.98 9796 7.91 0.06 0 1281
barnes      sys   00.07 23632 0.05 0.02 0 2898
barnes      me    00.07 30468 0.06 0.02 0 3429
barnes      me0   00.07 28668 0.05 0.02 0 2901
barnes      mi    00.07 31596 0.06 0.01 0 2419
barnes      rp    00.07 26492 0.06 0.01 0 3309
alloc-test1 sys   07.94 12128 7.91 0.01 0 2353
alloc-test1 me    10.39 56100 10.35 0.02 0 742
alloc-test1 me0   10.01 56080 9.91 0.06 0 742
alloc-test1 mi    05.99 14172 5.98 0.00 0 213
alloc-test1 rp    07.00 13388 6.97 0.01 0 1059
alloc-testN sys   07.32 14756 41.40 0.07 0 3194
alloc-testN me    10.10 265224 57.86 0.10 0 1416
alloc-testN me0   09.76 263144 56.05 0.11 0 1408
alloc-testN mi    05.85 28404 32.76 0.05 0 244
alloc-testN rp    06.84 25432 35.85 0.08 0 2954
glibc-simple sys   07.12 9100 7.10 0.00 0 175
glibc-simple me    11.71 15616 11.69 0.00 0 142
glibc-simple me0   09.42 15608 9.39 0.00 0 141
glibc-simple mi    03.39 9100 3.38 0.00 0 134
glibc-simple rp    03.42 9100 3.40 0.00 0 578
glibc-thread sys   4.795 9088 11.68 0.04 3 428
glibc-thread me    8.227 389448 11.59 0.07 1 520
glibc-thread me0   7.548 377180 11.37 0.09 3 521
glibc-thread mi    2.911 27532 11.80 0.01 0 203
glibc-thread rp    3.505 21316 11.71 0.02 3 1110
mstressN    sys   00.83 137828 2.27 0.30 0 68186
mstressN    me    00.29 217764 0.12 0.14 0 23977
mstressN    me0   00.28 217008 0.10 0.13 0 21735
mstressN    mi    00.54 216304 1.59 0.08 0 4753
mstressN    rp    00.65 204648 1.71 0.24 0 62478
rptestN     sys   1.594 22240 1.19 0.48 0 9727
rptestN     me     733888 0.31 0.57 0 35804
rptestN     me0    587300 0.22 0.33 0 21968
rptestN     mi    .818 47556 0.87 0.12 0 8351
rptestN     rp    .779 65980 0.84 0.11 0 5609
cache-scratch1 sys   02.23 9100 2.23 0.00 0 173
cache-scratch1 me    02.24 9320 2.23 0.00 0 187
cache-scratch1 me0   02.24 9308 2.23 0.00 0 187
cache-scratch1 mi    02.23 9072 2.23 0.00 0 195
cache-scratch1 rp    02.24 9112 2.23 0.00 0 524
cache-scratchN sys   00.39 9104 2.22 0.01 0 187
cache-scratchN me    00.40 11392 2.23 0.00 0 200
cache-scratchN me0   00.40 11380 2.23 0.00 0 199
cache-scratchN mi    00.41 9076 2.23 0.01 0 205
cache-scratchN rp    00.40 9128 2.23 0.00 0 535
malloc-large sys   02.00 533640 1.61 0.38 0 55270
malloc-large me    07.48 409292 1.29 6.13 0 1034878
malloc-large me0   07.42 409260 1.22 6.16 0 1030790
malloc-large mi    03.11 612820 1.65 1.45 0 539646
malloc-large rp    07.36 410344 1.31 6.00 0 978188
larsonN     sys   20.770 54816 28.74 0.28 0 11551
larsonN     me     345632 7.08 0.08 0 743
larsonN     me0   24.666 340016 29.19 0.13 0 1688
larsonN     mi    9.895 71824 29.11 0.19 0 7708
larsonN     rp    10.740 85472 29.23 0.13 0 9432
